2023-08-31 01:00:27,891 [ERROR] LogOutputStream:75 - [STDERR_REDIRECT] java.io.EOFException
2023-08-31 01:00:27,911 [ERROR] LogOutputStream:75 - [STDERR_REDIRECT] 	at org.eclipse.cdt.utils.macho.ERandomAccessFile.readIntE(ERandomAccessFile.java:56)
2023-08-31 01:00:27,912 [ERROR] LogOutputStream:75 - [STDERR_REDIRECT] 	at org.eclipse.cdt.utils.macho.MachO64.getSections(MachO64.java:1344)
2023-08-31 01:00:27,912 [ERROR] LogOutputStream:75 - [STDERR_REDIRECT] 	at org.eclipse.cdt.utils.macho.MachO64.loadLoadCommands(MachO64.java:1439)
2023-08-31 01:00:27,912 [ERROR] LogOutputStream:75 - [STDERR_REDIRECT] 	at org.eclipse.cdt.utils.macho.MachO64.createStabsReader(MachO64.java:1794)
2023-08-31 01:00:27,912 [ERROR] LogOutputStream:75 - [STDERR_REDIRECT] 	at org.eclipse.cdt.utils.macho.MachO64.getSymbolReader(MachO64.java:1822)
2023-08-31 01:00:27,912 [ERROR] LogOutputStream:75 - [STDERR_REDIRECT] 	at org.eclipse.cdt.utils.macho.parser.MachOBinaryObject64.getAdapter(MachOBinaryObject64.java:415)
2023-08-31 01:00:27,912 [ERROR] LogOutputStream:75 - [STDERR_REDIRECT] 	at org.eclipse.cdt.internal.core.model.Binary.addSourceFiles(Binary.java:310)
2023-08-31 01:00:27,912 [ERROR] LogOutputStream:75 - [STDERR_REDIRECT] 	at org.eclipse.cdt.internal.core.model.Binary.computeChildren(Binary.java:284)
2023-08-31 01:00:27,912 [ERROR] LogOutputStream:75 - [STDERR_REDIRECT] 	at org.eclipse.cdt.internal.core.model.Binary.buildStructure(Binary.java:270)
2023-08-31 01:00:27,912 [ERROR] LogOutputStream:75 - [STDERR_REDIRECT] 	at org.eclipse.cdt.internal.core.model.Openable.generateInfos(Openable.java:264)
2023-08-31 01:00:27,913 [ERROR] LogOutputStream:75 - [STDERR_REDIRECT] 	at org.eclipse.cdt.internal.core.model.CElement.openWhenClosed(CElement.java:428)
2023-08-31 01:00:27,913 [ERROR] LogOutputStream:75 - [STDERR_REDIRECT] 	at org.eclipse.cdt.internal.core.model.CElement.getElementInfo(CElement.java:306)
